Release Date,Name,Author,Cost,Link,meta_Link_title,Link2,meta_Link2_title,Type,daw automatable,Notes,paid_meta
2024-10-22,Corruption Crusher,-LightningPig,Free,https://lightningpig.gumroad.com/l/Corruptioncrusher,Gumroad,,,Effect,0,,
2024-09-22,the gusher,(un)familiar.,Free,https://unfamiliartunes.gumroad.com/l/the-gusher,Gumroad,,,Effect,0,,
2024-11-22,EB-FreakyTable,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/freakytable,Gumroad,,,Effect,0,,
2024-11-14,Florah(LITE),Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/FlorahLITE,Gumroad,,,Effect,0,,
2024-11-12,Florah,Ewan Bristow,Paid,https://ewanbristow.gumroad.com/l/Florah,Gumroad,https://www.patreon.com/user?u=47612738,Patreon,Effect,0,,2
2024-10-12,EB-Blasphemy,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/Blasphemy,Gumroad,,,Generator,0,,
2024-09-06,EB-Morph,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/rrsdkv,Gumroad,,,Effect,0,,
2024-08-19,EB-SpectralSquish,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/SpectralSquish,Gumroad,,,Effect,0,,
2024-08-07,EB-Resonator,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/EBResonator,Gumroad,,,Effect,0,,
2024-06-11,EB-DynamicAllPass,Ewan Bristow,Paid,https://ewanbristow.gumroad.com/l/EB-DynamicAllPass,Gumroad,https://www.patreon.com/user?u=47612738,Patreon,Effect,0,,2
2024-05-19,ChameleonX,Ewan Bristow,Paid,https://ewanbristow.gumroad.com/l/chameleonxbeta,Gumroad,https://www.patreon.com/user?u=47612738,Patreon,Effect,0,,2
2024-11-09,N-SUB,Nasko,Paid,https://www.patreon.com/posts/n-sub-plugdata-115682326,Patreon,,,Effect,0,,0
2024-09-28,N-SPEC GATE,Nasko,Paid,https://www.patreon.com/posts/n-spec-gate-fx-112905340,Patreon,,,Effect,0,,0
2024-08-24,N-PHASE SHIFT,Nasko,Free,https://www.patreon.com/posts/n-phase-shift-fx-110714959,Patreon,,,Effect,0,,
2024-08-18,N-SPEC COMP LITE,Nasko,Paid,https://www.patreon.com/posts/n-spec-comp-lite-110333394,Patreon,,,Effect,0,,0
2024-06-04,N-SPEC CLIP,Nasko,Paid,https://www.patreon.com/posts/n-spec-clip-fx-105527346,Patreon,,,Effect,0,,0
2024-05-05,N-SPEC COMP,Nasko,Paid,https://www.patreon.com/posts/n-spec-comp-fx-103688179,Patreon,,,Effect,0,,0
2024-03-24,N-SPECTRAL MASK,Nasko,Paid,https://www.patreon.com/posts/n-spectral-mask-100980671,Patreon,,,Effect,0,,0
2024-11-26,Disperse-X,ORU,Free,https://oruaudio.gumroad.com/l/disperse-x,Gumroad,,,Effect,0,,
2024-11-19,HOLO-106,ORU,Paid,https://oruaudio.gumroad.com/l/holo106,Gumroad,https://oruaudio.gumroad.com/l/retropalette?layout=profile,Bundle,Effect,0,,1TP
2024-11-19,T4-PE,ORU,Paid,https://oruaudio.gumroad.com/l/t4pe,Gumroad,https://oruaudio.gumroad.com/l/retropalette?layout=profile,Bundle,Effect,0,,1TP
2024-11-19,PureCLIP,ORU,Free,https://oruaudio.gumroad.com/l/pureclip,Gumroad,,,Effect,0,,
2024-11-19,HOLO-106 Lite,ORU,Free,https://oruaudio.gumroad.com/l/holo106lite,Gumroad,,,Effect,0,,
2024-11-19,T4-PE Lite,ORU,Free,https://oruaudio.gumroad.com/l/t4pelite,Gumroad,,,Effect,0,,
2024-09-21,photosynthesis,Sound Codex,Free,https://www.patreon.com/posts/free-botanica-v1-112494633,Patreon,,,Generator,0,,
2024-10-18,coarsedelay (free),zeff,Free,https://payhip.com/b/UPhVE,Payhip,,,Effect,0,,"1TP, Limit DL"
2024-08-23,spectralsand2,(un)familiar.,Paid,https://unfamiliartunes.gumroad.com/l/spectralsand,Gumroad,,,Effect,1,,1TP
2024-10-18,coarsedelay (full),zeff,Paid,https://payhip.com/b/UPhVE,Payhip,,,Effect,1,,"1TP, Limit DL"
2024-10-27,Bitmorph,-LightningPig,Free,https://lightningpig.gumroad.com/l/bitmorph,Gumroad,,,Effect,2,,
2024-11-05,EB-SpectraVeil,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/spectraveil,Gumroad,,,Effect,2,Improper state saving (v1.2),
2024-08-02,EB-SpectralGate,Ewan Bristow,Free,https://ewanbristow.gumroad.com/l/SpectralGate,Gumroad,,,Effect,2,Improper state saving (v1.0),
2024-07-17,N-SLoMo,Nasko,Free,https://www.patreon.com/posts/n-slomo-plugdata-106385744,Patreon,,,Effect,2,,
2024-11-29,Data Sampler,Tadej Supukovic,Free,https://tdspkaudio.gumroad.com/l/datasampler?layout=profile,Gumroad,,,Generator,2,Improper state saving (v1.0),
2024-11-27,GS77,Knaps,Paid,https://www.patreon.com/posts/gs77-full-116821234,Patreon,,,Generator,3,Also available as VST3,?
2024-10-13,SpectralArrayMod,Knaps,Paid,https://www.patreon.com/posts/spectral-array-113919514,Patreon,,,Effect,3,,?
2024-10-18,RBLD POLYSHIFTER,RBLD Audio,Paid,https://rbldaudio.gumroad.com/l/polyshifter,Gumroad,,,Effect,3,,1
2024-10-07,cyberdrum,Sound Codex,Paid,https://www.patreon.com/posts/cyberdrum-v1-0-0-113553292,Patreon,,,Generator,3,,?
2024-09-15,wasteland,Sound Codex,Paid,https://www.patreon.com/posts/wasteland-v1-0-1-112121744,Patreon,,,Generator,3,Buyable Patreon Post,2
2024-08-20,tapedelay,Sound Codex,Paid,https://www.patreon.com/posts/tapedelay-v1-4-0-110438245,Patreon,,,Effect,3,,0
2024-08-05,Daedalus,Sound Codex,Paid,https://www.patreon.com/posts/daedalus-v1-0-2-109511951,Patreon,,,Generator,3,Buyable Patreon Post,2
2024-07-06,Seq-1,Sound Codex,Paid,https://www.patreon.com/posts/seq-1-patch-107603506,Patreon,,,Unknown,3,,0
2024-11-16,QWERTY-Beats,jimfrize,Free,https://github.com/jimfrize/qwerty-beats,Github,,,Generator,5,,
2024-11-04,SGate,Knaps,Free,https://www.patreon.com/posts/sgate-free-for-115304470,Patreon,,,Generator Effect,5,,
2023-02-24,NEGAN GEWEALD,Orgeldream,Free,https://orgeldream.gumroad.com/l/negangeweald,Gumroad,,,Effect,5,Also available as VST3 & AU,
2024-10-18,mulekick,Sound Codex,Free,https://www.patreon.com/posts/free-kick-plugin-114234438,Patreon,,,Generator,5,,
